wavelength,x.cmf,y.cmf,z.cmf,illuminant.SPD,unk.SRD1,unk.SRD2,unk.SRD3
757,0.000204526,7.39E-05,3.29E-83,0.515705,0.534077764,0.608663628,0.122666157
758,0.000190841,6.89E-05,0,0.498531,0.533903098,0.610098204,0.12847389
759,0.000178065,6.43E-05,0,0.481356,0.534993424,0.610967445,0.133293073
760,0.000166151,6.00E-05,0,0.464182,0.535984099,0.611982442,0.13820292
761,0.000155024,5.60E-05,0,0.484569,0.536008865,0.613008299,0.143941769
762,0.000144622,5.22E-05,0,0.504956,0.537003553,0.613979999,0.148793743
763,0.00013491,4.87E-05,0,0.525344,0.536999438,0.615005405,0.154595176
764,0.000125852,4.54E-05,0,0.545731,0.537394837,0.61600942,0.15980533
765,0.000117413,4.24E-05,0,0.566118,0.538001434,0.617089626,0.165245433
766,0.000109552,3.96E-05,0,0.586505,0.539030722,0.617991962,0.171055198
767,0.000102225,3.69E-05,3.14E-89,0.606892,0.538999798,0.618900517,0.175869663
768,9.54E-05,3.44E-05,0,0.62728,0.539720572,0.619722916,0.181411576
769,8.90E-05,3.21E-05,0,0.647667,0.540000514,0.621101426,0.186507941
770,8.31E-05,3.00E-05,0,0.668054,0.539999973,0.622100037,0.191318663
771,7.75E-05,2.80E-05,-2.45E-91,0.664631,0.540007544,0.622981511,0.197121711
772,7.23E-05,2.61E-05,0,0.661209,0.540997893,0.622974433,0.20195679
773,6.75E-05,2.44E-05,-1.53E-92,0.657786,0.541000018,0.62480711,0.20677314
774,6.29E-05,2.27E-05,0,0.654364,0.541,0.624893292,0.211587076
775,5.87E-05,2.12E-05,0,0.650941,0.541000118,0.625999567,0.216313815
776,5.48E-05,1.98E-05,0,0.647518,0.540954997,0.627089407,0.222209635
777,5.11E-05,1.85E-05,0,0.644096,0.541999717,0.626995711,0.227024017
778,4.77E-05,1.72E-05,0,0.640673,0.541999997,0.62802289,0.231836524
779,4.45E-05,1.61E-05,0,0.637251,0.54199996,0.629004878,0.236648937
780,4.15E-05,1.50E-05,0,0.633828,0.542025308,0.629451483,0.241458902
781,3.87E-05,1.40E-05,0,0.634749,0.543007572,0.630001635,0.246269232
782,3.61E-05,1.31E-05,0,0.63567,0.542930108,0.631042639,0.251077189
783,3.37E-05,1.22E-05,0,0.636592,0.54300236,0.631917652,0.255889716
784,3.15E-05,1.14E-05,0,0.637513,0.542166224,0.631896301,0.259969532
785,2.94E-05,1.06E-05,0,0.638434,0.541897649,0.632897048,0.264504283
786,2.74E-05,9.89E-06,0,0.639355,0.542000149,0.633997633,0.269317358
787,2.55E-05,9.22E-06,1.14E-100,0.640276,0.542,0.634090792,0.273136584
788,2.38E-05,8.59E-06,0,0.641198,0.542000015,0.634999723,0.277930788
789,2.22E-05,8.01E-06,1.43E-101,0.642119,0.541973355,0.635026644,0.281750829
790,2.07E-05,7.47E-06,0,0.64304,0.540993198,0.636008817,0.286541219
791,1.93E-05,6.96E-06,0,0.638188,0.541000011,0.637107297,0.290244069
792,1.80E-05,6.49E-06,0,0.633336,0.541,0.637000503,0.295033182
793,1.67E-05,6.05E-06,0,0.628484,0.541,0.637974036,0.298963309
794,1.56E-05,5.64E-06,0,0.623632,0.541000482,0.637993539,0.302780488
795,1.46E-05,5.26E-06,3.49E-105,0.618779,0.540414959,0.638975297,0.306479807
796,1.36E-05,4.90E-06,0,0.613927,0.540000007,0.639358689,0.310272065
797,1.27E-05,4.57E-06,0,0.609075,0.539803777,0.640148236,0.315172602
798,1.18E-05,4.26E-06,0,0.604223,0.539000596,0.640993977,0.318991254
799,1.10E-05,3.97E-06,0,0.599371,0.538999978,0.641992825,0.322781302
800,1.03E-05,3.70E-06,0,0.594519,0.538999989,0.64297924,0.326566341
801,9.56E-06,3.45E-06,0,0.587026,0.539006172,0.644107557,0.330482047
802,8.91E-06,3.22E-06,0,0.579533,0.538023642,0.643996749,0.3342516
803,8.31E-06,3.00E-06,0,0.57204,0.53800001,0.64499743,0.338017113
804,7.75E-06,2.80E-06,0,0.564547,0.538082002,0.646038084,0.341895044
805,7.22E-06,2.61E-06,-6.65E-111,0.557054,0.537001422,0.645891351,0.344512554
806,6.73E-06,2.43E-06,0,0.549562,0.537090194,0.64699796,0.348511019
807,6.28E-06,2.27E-06,4.16E-112,0.542069,0.536002053,0.64699645,0.352039692
808,5.85E-06,2.11E-06,0,0.534576,0.535974034,0.647995742,0.355042628
809,5.46E-06,1.97E-06,0,0.527083,0.535000522,0.648990917,0.35892526
810,5.09E-06,1.84E-06,0,0.51959,0.535107243,0.649673902,0.361984003
811,4.74E-06,1.71E-06,0,0.525072,0.534001892,0.650000507,0.365580127
812,4.42E-06,1.60E-06,0,0.530553,0.534055806,0.650014945,0.368344035
813,4.12E-06,1.49E-06,-2.03E-115,0.536035,0.533000742,0.651002561,0.372020369
814,3.84E-06,1.39E-06,0,0.541516,0.533064812,0.651017381,0.374908175
815,3.58E-06,1.29E-06,0,0.546998,0.531999307,0.651997412,0.377712993
816,3.34E-06,1.21E-06,0,0.55248,0.530897306,0.652972526,0.380476375
